acquired,plot,blue,green,red,nir,row,panel,Date,Treatment,Block,PM_severity,DM_severity,total_dis,geometry,centroid
20200618,1,0.04004375,0.077490625,0.071215625,0.353575,1,1,2020-06-18,5.0,PM,0.0,0.0,0.0,"POLYGON ((-77.0152645742787 42.878300949250196, -77.01535545427274 42.87831851925121, -77.01535240633272 42.87832723797974, -77.0152615263266 42.87830966797658, -77.0152645742787 42.878300949250196))",POINT (-77.0153084903025 42.8783140936145)
20200618,2,0.044693333333333335,0.08180666666666667,0.07713333333333333,0.3365866666666667,1,2,2020-06-18,9.0,PM,0.0,0.05,5.05,"POLYGON ((-77.01535545427274 42.87831851925121, -77.01544069426711 42.87833411925217, -77.01543764633853 42.878342837982714, -77.01535240633272 42.87832723797974, -77.01535545427274 42.87831851925121))",POINT (-77.0153965503027 42.87833067861654)
20200618,4,0.04012142857142857,0.07639642857142857,0.07069285714285714,0.34348214285714285,1,4,2020-06-18,18.0,PM,0.0,0.0,0.5,"POLYGON ((-77.01552730426143 42.878350659253144, -77.01561588425558 42.87836680925413, -77.01561283635041 42.87837552798884, -77.0155242563444 42.87835937798574, -77.01552730426143 42.878350659253144))",POINT (-77.01557007030289 42.87836309362055)
20200618,5,0.034862068965517246,0.07349655172413792,0.060772413793103455,0.3582793103448276,1,5,2020-06-18,6.0,PM,0.0,0.0,15.1,"POLYGON ((-77.01561588425558 42.87836680925413, -77.01570014425 42.878381989255075, -77.01569709635612 42.87839070799176, -77.01561283635041 42.87837552798884, -77.01561588425558 42.87836680925413))",POINT (-77.01565649030296 42.878378758622546)
20200618,6,0.0393,0.07507,0.06889333333333333,0.33781666666666665,1,6,2020-06-18,2.0,PM,0.0,0.0,5.65,"POLYGON ((-77.01570014425 42.878381989255075, -77.01579094424405 42.87839937925609, -77.01578789636228 42.878408097994935, -77.01569709635612 42.87839070799176, -77.01570014425 42.878381989255075))",POINT (-77.01574402030295 42.87839504362453)
20200618,6,0.0393,0.07507,0.06889333333333333,0.33781666666666665,1,6,2020-06-18,2.0,PM,0.0,0.0,2.0,"POLYGON ((-77.01570014425 42.878381989255075, -77.01579094424405 42.87839937925609, -77.01578789636228 42.878408097994935, -77.01569709635612 42.87839070799176, -77.01570014425 42.878381989255075))",POINT (-77.01574402030295 42.87839504362453)
20200618,7,0.03712962962962963,0.07278888888888889,0.06304814814814816,0.3444,1,7,2020-06-18,15.0,PM,0.0,0.0,0.35,"POLYGON ((-77.01579094424405 42.87839937925609, -77.01587402423856 42.87841479925702, -77.01587097636792 42.87842351799784, -77.01578789636228 42.878408097994935, -77.01579094424405 42.87839937925609))",POINT (-77.01583096030309 42.87841144862656)
20200618,8,0.03610666666666667,0.07252666666666667,0.06088,0.35612,1,8,2020-06-18,11.0,PM,0.0,0.0,5.2,"POLYGON ((-77.01587402423856 42.87841479925702, -77.01596069423286 42.878431769258, -77.01595764637376 42.87844048800086, -77.01587097636792 42.87842351799784, -77.01587402423856 42.87841479925702))",POINT (-77.01591583530309 42.8784276436285)
20200618,9,0.038583870967741934,0.07393548387096774,0.06625483870967741,0.3339774193548387,1,9,2020-06-18,10.0,PM,0.0,0.0,6.15,"POLYGON ((-77.01596069423286 42.878431769258, -77.01605424422672 42.878449719259045, -77.01605119638012 42.87845843800412, -77.01595764637376 42.87844048800086, -77.01596069423286 42.878431769258))",POINT (-77.01600594530318 42.87844510363057)
20200618,9,0.038583870967741934,0.07393548387096774,0.06625483870967741,0.3339774193548387,1,9,2020-06-18,10.0,PM,0.0,0.05,5.05,"POLYGON ((-77.01596069423286 42.878431769258, -77.01605424422672 42.878449719259045, -77.01605119638012 42.87845843800412, -77.01595764637376 42.87844048800086, -77.01596069423286 42.878431769258))",POINT (-77.01600594530318 42.87844510363057)
20200618,10,0.03356428571428572,0.06914642857142857,0.060875,0.3500607142857143,1,10,2020-06-18,8.0,PM,0.0,0.0,0.05,"POLYGON ((-77.01605424422672 42.878449719259045, -77.01613850422115 42.87846450926, -77.01613545638585 42.87847322800707, -77.01605119638012 42.87845843800412, -77.01605424422672 42.878449719259045))",POINT (-77.01609485030343 42.87846147363265)
20200618,16,0.03581875,0.070559375,0.0603875,0.350690625,1,16,2020-06-18,21.0,PM,0.0,0.0,5.1,"POLYGON ((-77.01657162419265 42.878547489264875, -77.01666455418655 42.878565659265924, -77.01666150642144 42.878574378025434, -77.01656857641517 42.8785562080222, -77.01657162419265 42.878547489264875))",POINT (-77.01661656530372 42.87856093364467)
20200618,18,0.0478,0.08543703703703703,0.08455555555555555,0.324,2,2,2020-06-18,17.0,PM,0.0,0.0,0.2,"POLYGON ((-77.01535716363179 42.87834444724656, -77.01544010362635 42.878360347247515, -77.0154370769793 42.87836906998736, -77.01535413697367 42.878353169984464, -77.01535716363179 42.87834444724656))",POINT (-77.01539712030262 42.87835675861655)
20200618,19,0.045565517241379305,0.08301379310344828,0.07944137931034483,0.3214655172413793,2,3,2020-06-18,18.0,PM,0.0,0.0,2.55,"POLYGON ((-77.01544010362635 42.878360347247515, -77.01552583362069 42.87837611724848, -77.01552280698512 42.87838483999034, -77.0154370769793 42.87836906998736, -77.01544010362635 42.878360347247515))",POINT (-77.01548145530275 42.8783725936185)
20200618,20,0.04198620689655173,0.07825517241379311,0.07328620689655171,0.34510344827586203,2,4,2020-06-18,7.0,PM,0.0,0.1,5.3,"POLYGON ((-77.01552583362069 42.87837611724848, -77.01561655361472 42.878393657249504, -77.01561352699126 42.878402379993496, -77.01552280698512 42.87838483999034, -77.01552583362069 42.87837611724848))",POINT (-77.01556968030273 42.87838924862052)
20200618,21,0.04069655172413793,0.07622413793103448,0.06709310344827586,0.34624827586206897,2,5,2020-06-18,15.0,PM,0.0,0.0,1.3,"POLYGON ((-77.01561655361472 42.878393657249504, -77.01570177360908 42.87840924725045, -77.01569874699705 42.87841796999645, -77.01561352699126 42.878402379993496, -77.01561655361472 42.878393657249504))",POINT (-77.01565765030291 42.878405813622564)
