acquired,plot,blue,green,red,nir,row,panel,Date,Treatment,Block,PM_severity,DM_severity,total_dis,geometry,centroid,DM_inc,PM_inc
20220622,1,0.0583766666666666,0.0846666666666666,0.0863766666666666,0.3676066666666666,1,1,2022-06-22,26.0,PM,0.0,0.0,0.75,"POLYGON ((-77.0152645742787 42.878300949250196, -77.01535545427274 42.87831851925121, -77.01535240633272 42.87832723797974, -77.0152615263266 42.87830966797658, -77.0152645742787 42.878300949250196))",POINT (-77.0153084903025 42.8783140936145),0.0,0.0
20220622,2,0.058603448275862,0.0851758620689655,0.0883379310344827,0.3575827586206896,1,2,2022-06-22,17.0,PM,0.0,0.0,1.05,"POLYGON ((-77.01535545427274 42.87831851925121, -77.01544069426711 42.87833411925217, -77.01543764633853 42.878342837982714, -77.01535240633272 42.87832723797974, -77.01535545427274 42.87831851925121))",POINT (-77.0153965503027 42.87833067861654),0.0,0.0
20220622,3,0.0590321428571428,0.0860392857142857,0.0870035714285714,0.3603714285714285,1,3,2022-06-22,31.0,PM,0.0,0.0,0.5,"POLYGON ((-77.01544069426711 42.87833411925217, -77.01552730426143 42.878350659253144, -77.0155242563444 42.87835937798574, -77.01543764633853 42.878342837982714, -77.01544069426711 42.87833411925217))",POINT (-77.01548247530272 42.87834674861851),0.0,0.0
20220622,4,0.0579166666666666,0.08617,0.0881933333333333,0.3651266666666667,1,4,2022-06-22,3.0,PM,0.0,0.0,0.95,"POLYGON ((-77.01552730426143 42.878350659253144, -77.01561588425558 42.87836680925413, -77.01561283635041 42.87837552798884, -77.0155242563444 42.87835937798574, -77.01552730426143 42.878350659253144))",POINT (-77.01557007030289 42.87836309362055),0.0,0.0
20220622,5,0.0591724137931034,0.0858896551724137,0.0897,0.3597862068965517,1,5,2022-06-22,27.0,PM,0.0,0.0,0.8,"POLYGON ((-77.01561588425558 42.87836680925413, -77.01570014425 42.878381989255075, -77.01569709635612 42.87839070799176, -77.01561283635041 42.87837552798884, -77.01561588425558 42.87836680925413))",POINT (-77.01565649030296 42.878378758622546),0.0,0.0
20220622,6,0.0600290322580645,0.0870548387096774,0.0904,0.3538129032258064,1,6,2022-06-22,23.0,PM,0.0,0.0,0.8,"POLYGON ((-77.01570014425 42.878381989255075, -77.01579094424405 42.87839937925609, -77.01578789636228 42.878408097994935, -77.01569709635612 42.87839070799176, -77.01570014425 42.878381989255075))",POINT (-77.01574402030295 42.87839504362453),0.0,0.0
20220622,7,0.0615107142857142,0.0886214285714285,0.09435,0.3496178571428571,1,7,2022-06-22,35.0,PM,0.0,0.325,3.2750000000000004,"POLYGON ((-77.01579094424405 42.87839937925609, -77.01587402423856 42.87841479925702, -77.01587097636792 42.87842351799784, -77.01578789636228 42.878408097994935, -77.01579094424405 42.87839937925609))",POINT (-77.01583096030309 42.87841144862656),0.0,0.0
20220622,8,0.0618607142857142,0.0894321428571428,0.0952928571428571,0.3535678571428571,1,8,2022-06-22,5.0,PM,0.0,0.175,0.825,"POLYGON ((-77.01587402423856 42.87841479925702, -77.01596069423286 42.878431769258, -77.01595764637376 42.87844048800086, -77.01587097636792 42.87842351799784, -77.01587402423856 42.87841479925702))",POINT (-77.01591583530309 42.8784276436285),0.0,0.0
20220622,9,0.0614727272727272,0.0893181818181818,0.0948272727272727,0.3504818181818181,1,9,2022-06-22,14.0,PM,0.0,0.025,1.025,"POLYGON ((-77.01596069423286 42.878431769258, -77.01605424422672 42.878449719259045, -77.01605119638012 42.87845843800412, -77.01595764637376 42.87844048800086, -77.01596069423286 42.878431769258))",POINT (-77.01600594530318 42.87844510363057),0.0,0.0
20220622,10,0.0594964285714285,0.087775,0.0930357142857142,0.3580678571428571,1,10,2022-06-22,9.0,PM,0.0,1.275,2.625,"POLYGON ((-77.01605424422672 42.878449719259045, -77.01613850422115 42.87846450926, -77.01613545638585 42.87847322800707, -77.01605119638012 42.87845843800412, -77.01605424422672 42.878449719259045))",POINT (-77.01609485030343 42.87846147363265),0.0,0.0
