field_1,Row,Panel,xcoord,ycoord
0,1,1,-77.01530849,42.87831409
1,1,2,-77.01539655,42.87833068
2,1,3,-77.01548248,42.87834675
3,1,4,-77.01557007,42.87836309
4,1,5,-77.01565649,42.87837876
5,1,6,-77.01574402,42.87839504
6,1,7,-77.01583096,42.87841145
7,1,8,-77.01591584,42.87842764
8,1,9,-77.01600595,42.8784451
9,1,10,-77.01609485,42.87846147
10,1,11,-77.0161802,42.87847734
11,1,12,-77.01626729,42.87849406
12,1,13,-77.01635463,42.87851051
13,1,14,-77.01644048,42.87852664
14,1,15,-77.01652649,42.87854321
15,1,16,-77.01661657,42.87856093
17,2,1,-77.01530967,42.87833993
18,2,2,-77.01539712,42.87835676
19,2,3,-77.01548146,42.87837259
20,2,4,-77.01556968,42.87838925
21,2,5,-77.01565765,42.87840581
22,2,6,-77.01574435,42.87842174
23,2,7,-77.01583056,42.87843762
24,2,8,-77.01591657,42.87845377
25,2,9,-77.01600582,42.87847031
26,2,10,-77.01609404,42.87848666
27,2,11,-77.01617976,42.8785028
28,2,12,-77.01626723,42.87851926
29,2,13,-77.0163547,42.87853579
30,2,14,-77.01644031,42.87855194
31,2,15,-77.01652693,42.87856837
32,2,16,-77.01661726,42.87858523
34,3,1,-77.01531043,42.87836287
35,3,2,-77.01539854,42.87837943
36,3,3,-77.01548485,42.87839577
37,3,4,-77.01557277,42.87841273
38,3,5,-77.0156604,42.87842921
39,3,6,-77.01574659,42.87844545
40,3,7,-77.0158328,42.87846188
41,3,8,-77.01591865,42.878478
42,3,9,-77.01600659,42.87849468
43,3,10,-77.01609479,42.87851147
44,3,11,-77.0161808,42.87852768
45,3,12,-77.01626747,42.87854414
46,3,13,-77.01635529,42.87856072
47,3,14,-77.01644095,42.87857681
48,3,15,-77.01652732,42.87859323
49,3,16,-77.0166177,42.87861021
51,4,1,-77.01531124,42.87838743
52,4,2,-77.01539927,42.87840424
53,4,3,-77.0154852,42.87842064
54,4,4,-77.01557285,42.87843749
55,4,5,-77.01565959,42.87845386
56,4,6,-77.01574682,42.8784704
57,4,7,-77.01583403,42.87848699
58,4,8,-77.01591985,42.87850332
59,4,9,-77.01600844,42.87852033
60,4,10,-77.01609656,42.87853706
61,4,11,-77.01618167,42.87855322
62,4,12,-77.01626808,42.87856958
